drg,drgnum,drgweight,drgdesc,drgsys,drgvers,glos,trim,low,alos,postacute,specialpay,mdc,medsurg,fydate,fyear,mdcdesc
12,12,3.1576,"12: TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MS-DRG,30,8.5,0,,10,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
13,13,1.9566,"13: TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MS-DRG,30,5.599999905,0,,6.5,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
14,14,10.5255,14: ALLOGENEIC BONE MARROW TRANSPLANT,MS-DRG,30,18.60000038,0,,25.79999924,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
15,15,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
16,16,6.0932,16: AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MS-DRG,30,17.89999962,0,,19.89999962,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
17,17,4.5817,17: AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,MS-DRG,30,11,0,,14.19999981,No,No,0,SURG,10/1/2012,2013,0: PRINCIPAL DX CAN NOT BE ASSIGNED TO MDC
18,18,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
19,19,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
20,20,9.1016,20: INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,MS-DRG,30,14.5,0,,17.60000038,No,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
21,21,6.64,21: INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,MS-DRG,30,11.80000019,0,,13.5,No,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
22,22,4.5056,22: INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,MS-DRG,30,6.5,0,,8,No,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
23,23,5.2378,23: CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,MS-DRG,30,7.900000095,0,,11.10000038,Yes,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
24,24,3.5279,24: CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,MS-DRG,30,4.300000191,0,,6.5,Yes,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
25,25,4.5958,25: CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,MS-DRG,30,8.100000381,0,,10.5,Yes,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
26,26,2.9555,26: CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,MS-DRG,30,5.300000191,0,,6.800000191,Yes,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
27,27,2.1631,27: CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,MS-DRG,30,2.799999952,0,,3.599999905,Yes,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
28,28,5.6028,28: SPINAL PROCEDURES W MCC,MS-DRG,30,9.899999619,0,,12.89999962,Yes,Yes,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
29,29,2.9277,29: SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,MS-DRG,30,4.699999809,0,,6.400000095,Yes,Yes,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
30,30,1.7854,30: SPINAL PROCEDURES W/O CC/MCC,MS-DRG,30,2.400000095,0,,3.200000048,Yes,Yes,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
31,31,4.2645,31: VENTRICULAR SHUNT PROCEDURES W MCC,MS-DRG,30,8.5,0,,12,Yes,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
32,32,2.0348,32: VENTRICULAR SHUNT PROCEDURES W CC,MS-DRG,30,3.599999905,0,,5.300000191,Yes,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
33,33,1.4381,33: VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,MS-DRG,30,2,0,,2.599999905,Yes,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
34,34,3.6918,34: CAROTID ARTERY STENT PROCEDURE W MCC,MS-DRG,30,4.699999809,0,,7,No,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
35,35,2.1965,35: CAROTID ARTERY STENT PROCEDURE W CC,MS-DRG,30,2.099999905,0,,3.200000048,No,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
36,36,1.661,36: CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,MS-DRG,30,1.299999952,0,,1.5,No,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
37,37,3.187,37: EXTRACRANIAL PROCEDURES W MCC,MS-DRG,30,5.599999905,0,,8.300000191,No,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
38,38,1.5741,38: EXTRACRANIAL PROCEDURES W CC,MS-DRG,30,2.400000095,0,,3.5,No,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
39,39,1.0285,39: EXTRACRANIAL PROCEDURES W/O CC/MCC,MS-DRG,30,1.399999976,0,,1.600000024,No,No,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
40,40,3.868,40: PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,MS-DRG,30,8.899999619,0,,11.69999981,Yes,Yes,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
41,41,2.133,41: PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,MS-DRG,30,5,0,,6.400000095,Yes,Yes,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
42,42,1.7744,42: PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,MS-DRG,30,2.599999905,0,,3.400000095,Yes,Yes,1,SURG,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
43,43,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
44,44,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
45,45,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
46,46,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
47,47,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
48,48,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
49,49,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
50,50,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
51,51,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
52,52,1.4903,52: SPINAL DISORDERS & INJURIES W CC/MCC,MS-DRG,30,4.300000191,0,,5.800000191,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
53,53,0.9046,53: SPINAL DISORDERS & INJURIES W/O CC/MCC,MS-DRG,30,2.900000095,0,,3.5,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
54,54,1.3962,54: NERVOUS SYSTEM NEOPLASMS W MCC,MS-DRG,30,4.199999809,0,,5.699999809,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
55,55,1.0486,55: NERVOUS SYSTEM NEOPLASMS W/O MCC,MS-DRG,30,3.200000048,0,,4.300000191,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
56,56,1.7194,56: DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,MS-DRG,30,5.400000095,0,,7.099999905,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
57,57,0.968,57: DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,MS-DRG,30,3.599999905,0,,4.699999809,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
58,58,1.6472,58: MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,MS-DRG,30,5.400000095,0,,7,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
59,59,1.0088,59: MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,MS-DRG,30,3.900000095,0,,4.699999809,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
60,60,0.7807,60: MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,MS-DRG,30,3.099999905,0,,3.599999905,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
61,61,2.8668,61: ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W MCC,MS-DRG,30,6,0,,7.800000191,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
62,62,1.9551,62: ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,MS-DRG,30,4.5,0,,5.199999809,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
63,63,1.5366,63: ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,MS-DRG,30,3.200000048,0,,3.700000048,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
64,64,1.8424,64: INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MS-DRG,30,4.800000191,0,,6.599999905,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
65,65,1.1345,65: INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MS-DRG,30,3.700000048,0,,4.5,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
66,66,0.8135,66: INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MS-DRG,30,2.599999905,0,,3.099999905,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
67,67,1.5074,67: NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,MS-DRG,30,4.099999905,0,,5.400000095,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
68,68,0.8899,68: NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,MS-DRG,30,2.599999905,0,,3.200000048,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
69,69,0.7449,69: TRANSIENT ISCHEMIA,MS-DRG,30,2.200000048,0,,2.700000048,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
70,70,1.7056,70: NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,MS-DRG,30,5.099999905,0,,6.800000191,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
71,71,1.0174,71: NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,MS-DRG,30,3.700000048,0,,4.699999809,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
72,72,0.7506,72: NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,MS-DRG,30,2.5,0,,3,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
73,73,1.282,73: CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,MS-DRG,30,4.099999905,0,,5.400000095,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
74,74,0.8837,74: CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,MS-DRG,30,3.099999905,0,,4,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
75,75,1.7611,75: VIRAL MENINGITIS W CC/MCC,MS-DRG,30,5.5,0,,7,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
76,76,0.8947,76: VIRAL MENINGITIS W/O CC/MCC,MS-DRG,30,3.200000048,0,,3.900000095,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
77,77,1.6426,77: HYPERTENSIVE ENCEPHALOPATHY W MCC,MS-DRG,30,4.800000191,0,,6,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
78,78,0.979,78: HYPERTENSIVE ENCEPHALOPATHY W CC,MS-DRG,30,3.200000048,0,,4,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
79,79,0.7297,79: HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,MS-DRG,30,2.400000095,0,,2.900000095,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
80,80,1.2616,80: NONTRAUMATIC STUPOR & COMA W MCC,MS-DRG,30,3.700000048,0,,5.199999809,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
81,81,0.7416,81: NONTRAUMATIC STUPOR & COMA W/O MCC,MS-DRG,30,2.700000048,0,,3.400000095,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
82,82,1.9249,"82: TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",MS-DRG,30,3.299999952,0,,5.599999905,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
83,83,1.3458,"83: TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",MS-DRG,30,3.400000095,0,,4.5,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
84,84,0.8696,"84: TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC",MS-DRG,30,2.200000048,0,,2.700000048,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
85,85,2.0387,"85: TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",MS-DRG,30,5,0,,6.800000191,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
86,86,1.1874,"86: TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",MS-DRG,30,3.400000095,0,,4.300000191,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
87,87,0.7605,"87: TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",MS-DRG,30,2.200000048,0,,2.700000048,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
88,88,1.5687,88: CONCUSSION W MCC,MS-DRG,30,4.099999905,0,,5.300000191,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
89,89,0.9791,89: CONCUSSION W CC,MS-DRG,30,2.700000048,0,,3.400000095,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
90,90,0.7218,90: CONCUSSION W/O CC/MCC,MS-DRG,30,1.799999952,0,,2.200000048,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
91,91,1.6583,91: OTHER DISORDERS OF NERVOUS SYSTEM W MCC,MS-DRG,30,4.300000191,0,,6,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
92,92,0.9214,92: OTHER DISORDERS OF NERVOUS SYSTEM W CC,MS-DRG,30,3.099999905,0,,4,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
93,93,0.6938,93: OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,MS-DRG,30,2.299999952,0,,2.799999952,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
94,94,3.5656,94: BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,MS-DRG,30,8.899999619,0,,11.5,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
95,95,2.4627,95: BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,MS-DRG,30,6.300000191,0,,7.900000095,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
96,96,2.0158,96: BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,MS-DRG,30,4.400000095,0,,5.5,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
97,97,3.3714,97: NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,MS-DRG,30,8.899999619,0,,11.5,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
98,98,1.8418,98: NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,MS-DRG,30,6.099999905,0,,7.699999809,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
99,99,1.2427,99: NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,MS-DRG,30,4.099999905,0,,4.900000095,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
100,100,1.557,100: SEIZURES W MCC,MS-DRG,30,4.300000191,0,,5.800000191,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
101,101,0.7643,101: SEIZURES W/O MCC,MS-DRG,30,2.599999905,0,,3.299999952,Yes,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
102,102,1.0209,102: HEADACHES W MCC,MS-DRG,30,3,0,,4.099999905,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
103,103,0.6893,103: HEADACHES W/O MCC,MS-DRG,30,2.299999952,0,,2.900000095,No,No,1,MED,10/1/2012,2013,1: DISEASES & DISORDERS OF THE NERVOUS SYSTEM
104,104,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
105,105,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
106,106,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
107,107,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
108,108,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
109,109,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
110,110,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
111,111,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
112,112,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
113,113,1.8587,113: ORBITAL PROCEDURES W CC/MCC,MS-DRG,30,4.099999905,0,,5.599999905,No,No,2,SURG,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
114,114,0.9589,114: ORBITAL PROCEDURES W/O CC/MCC,MS-DRG,30,2.200000048,0,,2.900000095,No,No,2,SURG,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
115,115,1.2407,115: EXTRAOCULAR PROCEDURES EXCEPT ORBIT,MS-DRG,30,3.400000095,0,,4.5,No,No,2,SURG,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
116,116,1.5022,116: INTRAOCULAR PROCEDURES W CC/MCC,MS-DRG,30,3.5,0,,5.099999905,No,No,2,SURG,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
117,117,0.7234,117: INTRAOCULAR PROCEDURES W/O CC/MCC,MS-DRG,30,1.700000048,0,,2.299999952,No,No,2,SURG,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
118,118,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
119,119,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
120,120,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
121,121,0.9589,121: ACUTE MAJOR EYE INFECTIONS W CC/MCC,MS-DRG,30,3.900000095,0,,4.900000095,No,No,2,MED,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
122,122,0.6533,122: ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,MS-DRG,30,3.200000048,0,,3.900000095,No,No,2,MED,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
123,123,0.7542,123: NEUROLOGICAL EYE DISORDERS,MS-DRG,30,2.200000048,0,,2.700000048,No,No,2,MED,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
124,124,1.1885,124: OTHER DISORDERS OF THE EYE W MCC,MS-DRG,30,3.599999905,0,,4.900000095,No,No,2,MED,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
125,125,0.685,125: OTHER DISORDERS OF THE EYE W/O MCC,MS-DRG,30,2.5,0,,3.200000048,No,No,2,MED,10/1/2012,2013,2: DISEASES & DISORDERS OF THE EYE
126,126,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
127,127,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
128,128,0,,MS-DRG,30,0,0,,0,,,,,10/1/2012,2013,
129,129,2.15,129: MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,MS-DRG,30,3.700000048,0,,5.400000095,No,No,3,SURG,10/1/2012,2013,"3: DISEASES & DISORDERS OF THE EAR, NOSE, MOUTH & THROAT"
130,130,1.2065,130: MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,MS-DRG,30,2.299999952,0,,2.900000095,No,No,3,SURG,10/1/2012,2013,"3: DISEASES & DISORDERS OF THE EAR, NOSE, MOUTH & THROAT"
131,131,2.3443,131: CRANIAL/FACIAL PROCEDURES W CC/MCC,MS-DRG,30,4.199999809,0,,6.099999905,No,No,3,SURG,10/1/2012,2013,"3: DISEASES & DISORDERS OF THE EAR, NOSE, MOUTH & THROAT"
132,132,1.2362,132: CRANIAL/FACIAL PROCEDURES W/O CC/MCC,MS-DRG,30,2.099999905,0,,2.700000048,No,No,3,SURG,10/1/2012,2013,"3: DISEASES & DISORDERS OF THE EAR, NOSE, MOUTH & THROAT"
133,133,1.7818,"133: OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",MS-DRG,30,3.599999905,0,,5.400000095,No,No,3,SURG,10/1/2012,2013,"3: DISEASES & DISORDERS OF THE EAR, NOSE, MOUTH & THROAT"
134,134,0.9177,"134: OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",MS-DRG,30,1.799999952,0,,2.200000048,No,No,3,SURG,10/1/2012,2013,"3: DISEASES & DISORDERS OF THE EAR, NOSE, MOUTH & THROAT"
135,135,2.0002,135: SINUS & MASTOID PROCEDURES W CC/MCC,MS-DRG,30,4,0,,5.900000095,No,No,3,SURG,10/1/2012,2013,"3: DISEASES & DISORDERS OF THE EAR, NOSE, MOUTH & THROAT"
136,136,1.0697,136: SINUS & MASTOID PROCEDURES W/O CC/MCC,MS-DRG,30,1.799999952,0,,2.299999952,No,No,3,SURG,10/1/2012,2013,"3: DISEASES & DISORDERS OF THE EAR, NOSE, MOUTH & THROAT"
137,137,1.3192,137: MOUTH PROCEDURES W CC/MCC,MS-DRG,30,3.799999952,0,,5,No,No,3,SURG,10/1/2012,2013,"3: DISEASES & DISORDERS OF THE EAR, NOSE, MOUTH & THROAT"
